Luke Skywalker	19BBY	male	blue	blond	172	77	Tatooine
C-3PO	112BBY	n/a	yellow	n/a	167	75	Tatooine
R2-D2	33BBY	n/a	red	n/a	96	32	Naboo
Darth Vader	41.9BBY	male	yellow	none	202	136	Tatooine
Leia Organa	19BBY	female	brown	brown	150	49	Alderaan
Owen Lars	52BBY	male	blue	brown, grey	178	120	Tatooine
Beru Whitesun lars	47BBY	female	blue	brown	165	75	Tatooine
R5-D4	NULL	n/a	red	n/a	97	32	Tatooine
Biggs Darklighter	24BBY	male	brown	black	183	84	Tatooine
Obi-Wan Kenobi	57BBY	male	blue-gray	auburn, white	182	77	Stewjon
Anakin Skywalker	41.9BBY	male	blue	blond	188	84	Tatooine
Wilhuff Tarkin	64BBY	male	blue	auburn, grey	180	NULL	Eriadu
Chewbacca	200BBY	male	blue	brown	228	112	Kashyyyk
Han Solo	29BBY	male	brown	brown	180	80	Corellia
Greedo	44BBY	male	black	n/a	173	74	Rodia
Jabba Desilijic Tiure	600BBY	hermaphrodite	orange	n/a	175	1.358	Nal Hutta
Wedge Antilles	21BBY	male	hazel	brown	170	77	Corellia
Jek Tono Porkins	NULL	male	blue	brown	180	110	Bestine IV
Yoda	896BBY	male	brown	white	66	17	NULL
Palpatine	82BBY	male	yellow	grey	170	75	Naboo
Boba Fett	31.5BBY	male	brown	black	183	78.2	Kamino
IG-88	15BBY	none	red	none	200	140	NULL
Bossk	53BBY	male	red	none	190	113	Trandosha
Lando Calrissian	31BBY	male	brown	black	177	79	Socorro
Lobot	37BBY	male	blue	none	175	79	Bespin
Ackbar	41BBY	male	orange	none	180	83	Mon Cala
Mon Mothma	48BBY	female	blue	auburn	150	NULL	Chandrila
Arvel Crynyd	NULL	male	brown	brown	NULL	NULL	NULL
Wicket Systri Warrick	8BBY	male	brown	brown	88	20	Endor
Nien Nunb	NULL	male	black	none	160	68	Sullust
Qui-Gon Jinn	92BBY	male	blue	brown	193	89	NULL
Nute Gunray	NULL	male	red	none	191	90	Cato Neimoidia
Finis Valorum	91BBY	male	blue	blond	170	NULL	Coruscant
Jar Jar Binks	52BBY	male	orange	none	196	66	Naboo
Roos Tarpals	NULL	male	orange	none	224	82	Naboo
Rugor Nass	NULL	male	orange	none	206	NULL	Naboo
Ric Olié	NULL	male	blue	brown	183	NULL	Naboo
Watto	NULL	male	yellow	black	137	NULL	Toydaria
Sebulba	NULL	male	orange	none	112	40	Malastare
Quarsh Panaka	62BBY	male	brown	black	183	NULL	Naboo
Shmi Skywalker	72BBY	female	brown	black	163	NULL	Tatooine
Darth Maul	54BBY	male	yellow	none	175	80	Dathomir
Bib Fortuna	NULL	male	pink	none	180	NULL	Ryloth
Ayla Secura	48BBY	female	hazel	none	178	55	Ryloth
Ratts Tyerel	NULL	male	NULL	none	79	15	Aleen Minor
Dud Bolt	NULL	male	yellow	none	94	45	Vulpter
Gasgano	NULL	male	black	none	122	NULL	Troiken
Ben Quadinaros	NULL	male	orange	none	163	65	Tund
Mace Windu	72BBY	male	brown	none	188	84	Haruun Kal
Ki-Adi-Mundi	92BBY	male	yellow	white	198	82	Cerea
Kit Fisto	NULL	male	black	none	196	87	Glee Anselm
Eeth Koth	NULL	male	brown	black	171	NULL	Iridonia
Adi Gallia	NULL	female	blue	none	184	50	Coruscant
Saesee Tiin	NULL	male	orange	none	188	NULL	Iktotch
Yarael Poof	NULL	male	yellow	none	264	NULL	Quermia
Plo Koon	22BBY	male	black	none	188	80	Dorin
Mas Amedda	NULL	male	blue	none	196	NULL	Champala
Gregar Typho	NULL	male	brown	black	185	85	Naboo
Cordé	NULL	female	brown	brown	157	NULL	Naboo
Cliegg Lars	82BBY	male	blue	brown	183	NULL	Tatooine
Poggle the Lesser	NULL	male	yellow	none	183	80	Geonosis
Luminara Unduli	58BBY	female	blue	black	170	56.2	Mirial
Barriss Offee	40BBY	female	blue	black	166	50	Mirial
Dormé	NULL	female	brown	brown	165	NULL	Naboo
Dooku	102BBY	male	brown	white	193	80	Serenno
Bail Prestor Organa	67BBY	male	brown	black	191	NULL	Alderaan
Jango Fett	66BBY	male	brown	black	183	79	Concord Dawn
Zam Wesell	NULL	female	yellow	blonde	168	55	Zolan
Dexter Jettster	NULL	male	yellow	none	198	102	Ojom
Lama Su	NULL	male	black	none	229	88	Kamino
Taun We	NULL	female	black	none	213	NULL	Kamino
Jocasta Nu	NULL	female	blue	white	167	NULL	Coruscant
R4-P17	NULL	female	red, blue	none	96	NULL	NULL
Wat Tambor	NULL	male	NULL	none	193	48	Skako
San Hill	NULL	male	gold	none	191	NULL	Muunilinst
Shaak Ti	NULL	female	black	none	178	57	Shili
Grievous	NULL	male	green, yellow	none	216	159	Kalee
Tarfful	NULL	male	blue	brown	234	136	Kashyyyk
Raymus Antilles	NULL	male	brown	brown	188	79	Alderaan
Sly Moore	NULL	female	white	none	178	48	Umbara
Tion Medon	NULL	male	black	none	206	80	Utapau
Finn	NULL	male	dark	black	NULL	NULL	NULL
Rey	NULL	female	hazel	brown	NULL	NULL	NULL
Poe Dameron	NULL	male	brown	brown	NULL	NULL	NULL
BB8	NULL	none	black	none	NULL	NULL	NULL
Captain Phasma	NULL	female	NULL	NULL	NULL	NULL	NULL
Padmé Amidala	46BBY	female	brown	brown	165	45	Naboo
